Raga,Raga_Class,Melakarta,Aarohanam,Avarohanam
Sumadyuthi,Janyam,57,S R2 G2 M2 P D1 N3 S, S N3 D1 P M2 G2 R2 S
Ānandavalli,Janyam,57,S G2 M2 P N3 S, S N3 P M2 G2 S
Ghantana,Janyam,57,S R2 G2 M2 D1 N3 S, S N3 D1 M2 G2 R2 S
Jayachoodāmani,Janyam,57,S G2 M2 P D1 S, S N3 D1 P M2 G2 R2 S
Pranavapriyā,Janyam,57,S R2 M2 P N3 S, S N3 P M2 G2 R2 S
Sarvāngi,Janyam,57,S R2 M2 D1 N3 S, S N3 D1 M2 G2 S R3 S
Seshanādam,Janyam,57,S R2 G2 M2 P D1 S, S N3 D1 P M2 G2 R2 S
Suddha,Janyam,57,S R2 G2 M2 P N3 S, S N3 P M2 G2 R2 S
Sunādapriyā,Janyam,57,S R2 G2 M2 P S, S N3 D1 P M2 G2 R2 S
Urmikā,Janyam,57,S R2 G2 M2 P N3 S, S N3 P M2 G2 R2 S
Vijayasaraswathi,Janyam,57,S G2 M2 P D1 N3 S, S N3 P M2 G2 R2 S
Hemavathi,Melakarta,58,S R2 G2 M2 P D2 N2 S, S N2 D2 P M2 G2 R2 S
Deshisimhāravam,Janyam,58,S R2 G2 M2 P D2 N2 S, S N2 D2 P M2 G2 R2 S
Chandrarekhā,Janyam,58,S R2 G2 M2 P D2 S, S N2 D2 M2 G2 R2 S
Hamsabhramari,Janyam,58,S R2 G2 M2 P D2 S, S N2 D2 P M2 G2 R2 S
Hemāmbari,Janyam,58,S R2 G2 M2 P D2 N2 S, S P M2 G2 R2 S
Hemapriya,Janyam,58,S R2 G2 M2 D2 S, S D2 M2 G2 R2 S
Kshemakari,Janyam,58,S R2 M2 D2 N2 S, S N2 D2 M2 R2 S
Madhukowns,Janyam,58,S G2 M2 P N2 P S, S N2 P M2 G3 S
Shakthiroopini,Janyam,58,S G2 M2 D2 S, S N2 D2 M2 G2 S
Simhārava,Janyam,58,S R2 M2 P N2 S, S N2 P M2 R2 G2 R2 S
Vijayasāranga,Janyam,58,S R2 G2 M2 P D2 S, S N2 D2 M2 G2 R2 S
Vijayashrāngi,Janyam,58,S R2 G2 M2 P D2 S, S N2 D2 M2 G2 R2 S
Yāgini,Janyam,58,S R2 M2 P N2 S, S N2 P M2 R2 S
Dharmavathi,Melakarta,59,S R2 G2 M2 P D2 N3 S, S N3 D2 P M2 G2 R2 S
Dhāmavathi,Janyam,59,S R2 G2 M2 P D2 N3 S, S N3 D2 P M2 G2 R2 S
Gowrikriya,Janyam,59,S G2 M2 P D2 N3 S, S N3 D2 N3 P M2 G2 S
Karmukhāvati,Janyam,59,S R2 G2 M2 D2 N3 S, S N3 D2 M2 G2 R2 S
Karpoora Bharani,Janyam,59,S R2 G2 P M2 P D2 S, S D2 P M2 P G2 R2 S
Lalitasimharavam,Janyam,59,S R2 G2 M2 P S, S N3 P M2 G2 R2 S
Madhumālathi,Janyam,59,N3 S G2 M2 P S, S N3 D2 P M2 G2 R2 S
Madhuvanthi,Janyam,59,S G2 M2 P N3 S, S N3 D2 P M2 G2 R2 S
Moharanjani,Janyam,59,S R2 G2 P D2 S, S N3 D2 M2 G2 S
Ranjani,Janyam,59,S R2 G2 M2 D2 S, S N3 D2 M2 G2 S R2 G2 S
Varada,Janyam,59,S R2 M2 P N3 S, S N3 P M2 R2 S
Vijayanāgari,Janyam,59,S R2 G2 M2 P D2 S, S D2 P M2 G2 R2 S
Vishveshwarapriyā,Janyam,59,S R2 M2 P N3 S, S N3 D2 P M2 R2 S
Neethimathi,Melakarta,60,S R2 G2 M2 P D3 N3 S, S N3 D3 P M2 G2 R2 S
Nisshadham,Janyam,60,S R2 G2 M2 P D3 N3 S, S N3 P M2 G2 R2 S
Amarasenapriyā,Janyam,60,S R2 M2 P N2 S, S N3 P M2 G2 R2 S
Deshyagānavaridhi,Janyam,60,S R2 G2 M2 P D3 N3 P S, S N3 S P M2 G2 R2 S
Hamsanādham,Janyam,60,S R2 M2 P D3 N3 S, S N3 D3 P M2 R2 S
Hamsanādham,Janyam,60,S R2 M2 P N3 S, S N3 P M2 R2 S
Kaikavashi,Janyam,60,S R2 G2 M2 P D3 N3 S, S N3 P M2 G2 R2 S
Nuthanachandrikā,Janyam,60,S R2 G2 M2 P D3 N3 S, S N3 P D3 N3 P M2 G2 S
Rathnasāranga,Janyam,60,S R2 G2 M2 P N3 S, S N3 D3 P M2 G2 R2 S
Kānthāmani,Melakarta,61,S R2 G3 M2 P D1 N1 S, S N1 D1 P M2 G3 R2 S
Kunthalam,Janyam,61,S R2 G3 M2 P D1 S, S N1 D1 P M2 G3 R2 S
Kanakakusumāvali,Janyam,61,S R2 G3 M2 P D2 S, S D2 P M2 G3 R2 S
Shruthiranjani,Janyam,61,S R2 G3 M2 P D1 N1, N1 D1 P M2 G3 R2 S
Rishabhapriya,Melakarta,62,S R2 G3 M2 P D1 N2 S, S N2 D1 P M2 G3 R2 S
Rathipriyā,Janyam,62,S R2 G3 M2 P D1 N2 S, S N2 D1 P M2 G3 R2 S
Gopriya,Janyam,62,S R2 G3 M2 D1 N2 S, S N3 D1 M2 G3 R2 S
Poornasāveri,Janyam,62,S R2 M2 P D1 S, S N2 D1 P M2 G3 R2 S
Rathnabhānu,Janyam,62,S R2 M2 P N2 D1 N2 S, S N2 D1 P M2 G3 R2 S
Suddha Sāranga,Janyam,62,S G M2 P N2 S, S D1 P M2 G3 S
Lathāngi,Melakarta,63,S R2 G3 M2 P D1 N3 S, S N3 D1 P M2 G3 R2 S
Geethapriyā,Janyam,63,S R2 G3 M2 P D1 N3 S, S N3 D1 P M2 G3 R2 S
Chitrachandrika,Janyam,63,S G3 R2 G3 M2 P N3 D1 S, S N3 D1 M2 G3 R2 S
Hamsalatha,Janyam,63,S R2 G3 P N3 S, S N3 D1 P M2 G3 R2 S
Kananapriyā,Janyam,63,S R2 G3 M2 P M2 D1 N3 S, S D1 N3 P M2 G3 R2 S
Karunākari,Janyam,63,S M2 P D1 N3 D1 S, S N3 D1 P M2 S
Lalithāngi,Janyam,63,S R2 G3 M2 D1 N3 S, S N3 D1 M2 G3 R2 S
Ramani,Janyam,63,S G3 M2 P N3 S, S N3 D1 P M2 G3 S
Rathnakānthi,Janyam,63,S R2 G3 M2 P N3 S, S N3 P M2 G3 R2 S
Raviswaroopini,Janyam,63,S G3 M2 P D1 N3 S, S N3 D1 P M2 G3 S
Sajjananandhi,Janyam,63,S R2 G3 M2 P D1 N3 S, S N3 D1 M2 G3 R2 S
Skandamanorama,Janyam,63,S R2 M2 P N3 S, S N3 P M2 R2 S
Vāchaspathi,Melakarta,64,S R2 G3 M2 P D2 N2 S, S N2 D2 P M2 G3 R2 S
Bhooshāvathi,Janyam,64,S R2 G3 M2 P D2 N2 S, S N2 D2 P M2 G3 R2 S
Bhagavataranjana,Janyam,64,S R2 M2 P D2 N2 S, S N2 D2 P M2 G3 R2 S
Bhogeeshwari,Janyam,64,S R2 G3 P D2 N2 D2 S, S N2 D2 P M2 G3 R2 S
Bhooshāvali,Janyam,64,S R2 G3 M2 P D2 S, S N2 D2 P M2 G3 R2 S
Dwigāndhārabhooshani,Janyam,64,S R1 G2 G3 G2 P D2 S, S D2 P G2 G3 G2 R1 S D2 S
Gaganamohini,Janyam,64,S G3 P D2 N2 S, S N2 P M2 G3 S
Gurupriya,Janyam,64,S R2 G3 M2 D2 N2 S, S N2 D2 M2 G3 R2 S
Hrdhini,Janyam,64,S G3 M2 P N2 S, S N2 P M2 G3 S
Mangalakari,Janyam,64,S R2 P M2 P D2 N2 S, S N2 D2 P G3 R2 S
Mukthidāyini,Janyam,64,S G3 M2 P D2 N2 S, S N2 D2 P M2 G3 S
Nādhabrahma,Janyam,64,S P M2 P D2 N2 S, S N2 D2 P M2 G3 S
Pranavākāri,Janyam,64,P N2 D2 N2 S R2 G3 M2, P M2 G3 R2 S N2 D2 N2 P
Saraswathi,Janyam,64,S R2 M2 P D2 S, S N2 D2 P M2 R2 S
Triveni,Janyam,64,S R2 M2 P D2 N2 S, S N2 D2 P M2 R2 S
Utthari,Janyam,64,S G3 M2 P D2 N2 S, S N2 D2 M2 G3 S
Vivāhapriyā,Janyam,64,S R2 M2 P D2 N3 S, S N3 D2 P M2 R2 S
Mechakalyāni,Melakarta,65,S R2 G3 M2 P D2 N3 S, S N3 D2 P M2 G3 R2 S
Shānthakalyāni,Janyam,65,S R2 G3 M2 P D2 N3 S, S N3 D2 P M2 G3 R2 S
Amritha Behāg,Janyam,65,S M2 G3 P N3 S, D N3 D2 M2 G3 S
Aprameya,Janyam,65,S R2 M2 P D2 S, S N3 D2 M2 G3 M2 R2 S
Bhoopkalyāni,Janyam,65,S R2 G3 P D2 S, S N3 D2 P M2 G3 R2 S
Chandrakāntha,Janyam,65,S R2 G3 M2 P D2 N3 S, S N3 D2 N3 P M2 G3 R2 S
"Hameer (Kalyan, Yaman Thāt Janya)",Janyam,65,S R2 S G3 M1 D2 N3 D2 S, S N3 D2 N2 P G3 M1 D2 M2 P D2 P G3 M1 R2 S
Hameer Kalyāni,Janyam,65,S P M2 P D2 N3 S, S N3 D2 P M2 M1 G3 P M1 R2 S
Hameer Kalyāni,Janyam,65,S R2 S P M2 P D2 N3 S, S N3 D2 P M2 G3 M1 G3 R2 S
Hameer Kalyāni,Janyam,65,S R2 S P M2 N3 D2 S N3 S, S N3 D2 P M2 G M1 R2 S
Hameer Kalyāni,Janyam,65,S R2 G3 M2 P D2 N3 P D2 P S, S N3 D2 P G3 M1 G3 R2 S
Hameer Kalyāni,Janyam,65,S P M2 P D2 N3 S, S N3 D2 P G3 M1 G3 R2 S
Hamsakalyāni,Janyam,65,S R2 G3 P N3 S, S N3 D2 P M2 G3 R2 S
Kalyānadāyini,Janyam,65,S R2 G3 M2 D2 N3 S, S N3 D2 M2 G3 R2 S
Kannadamaruva,Janyam,65,S G3 M2 P D2 N3 S, S N3 D2 P M2 G3 S
Kowmoda,Janyam,65,S R2 G3 M2 N3 S, S N3 P M2 G3 S
Kunthalashreekānti,Janyam,65,S G3 M2 P D2 N3 S, S N3 P M2 G3 R2 S
Mohana Kalyāni,Janyam,65,S R2 G3 P D2 S, S N3 D2 P M2 G3 R2 S
Mrgānandhana,Janyam,65,S R2 G3 D2 N3 S, S N3 D2 M2 D2 G3 R2 S
Nādhakalyāni,Janyam,65,S G3 M2 D2 N3 S, S N3 D2 M2 G3 M2 R2 S
Pramodhini,Janyam,65,S G3 M2 P D2 S, S D2 P M2 G3 S
Sāranga,Janyam,65,S R2 G3 M2 P D2 N3 S, S N3 D2 P M2 R2 G3 M1 R2 S
Sāranga,Janyam,65,S R2 S P M2 P D2 N3 S, S N3 S D2 P M2 R2 G3 M1 R2 S
Sāranga,Janyam,65,S P M2 P D2 N3 S, S N3 D2 P M2 R2 G3 M1 R2 S
Sāranga Tārangini,Janyam,65,S R2 M2 P D2 N3 S, S N3 D2 P M2 R2 S
Shilangi,Janyam,65,S G2 M2 P N3 S, S N3 P M2 G2 S
Suddha Koshala,Janyam,65,S G3 M2 P S, S N3 D2 M2 G3 R2 S
Sunādavinodini,Janyam,65,S G3 M2 D2 N3 S, S N3 D2 M2 G3 S
Swayambhooshwara Rāga,Janyam,65,S G3 P S, S P G3 S
Vandanadhārini,Janyam,65,S R2 M2 P D2 S, S D2 P M2 R2 S
Yaman,Janyam,65,S R2 G3 M2 P D2 N3 S, S N3 D2 P M2 G3 R2 S
Yaman Kalyāni,Janyam,65,S R2 G3 M2 P D2 N3 S, S N3 D2 P M2 G3 M1 G3 R2 S
Yamunā Kalyāni,Janyam,65,S R2 G3 P M2 P D2 S, S D2 P M2 P G3 R2 S
Chitrāmbari,Melakarta,66,S R2 G3 M2 P D3 N3 S, S N3 D3 P M2 G3 R2 S
Chaturāngini,Janyam,66,S R2 G3 M2 P N3 S, S N3 D3 N3 P G3 M2 G3 R2 S
Amritavarshini,Janyam,66,S G3 M2 P N3 S, S N3 P M2 G3 S
Chitrasindhu,Janyam,66,S G3 M2 P N3 S, S N3 D3 P M2 G3 R2 S
Churnikavinodhini,Janyam,66,S R2 G3 M2 P D3 N3 S, S N3 D3 N3 P M2 G3 R2 S
Vijayakoshalam,Janyam,66,S R2 G3 M2 P S, S N3 P M2 G3 S
Sucharitra,Melakarta,67,S R3 G3 M2 P D1 N1 S, S N1 D1 P M2 G3 R3 S
Santhāna Manjari,Janyam,67,S R3 G3 M2 P D1 S, S N1 D1 P M2 R3 S
Jyothiswaroopini,Melakarta,68,S R3 G3 M2 P D1 N2 S, S N2 D1 P M2 G3 R3 S
Jyothi,Janyam,68,S R3 G3 M2 P D1 N2 S, S N2 D1 P M2 G3 S
Deepavarāli,Janyam,68,S R3 M2 P N2 S, S N2 P M2 G3 R3 S
Jyothishmathi,Janyam,68,S R3 G3 M2 P S, S N2 D1 M2 P M2 G3 R3 S
Rāmagiri,Janyam,68,S R3 M2 G3 M2 P D1 N2 S, S D1 N2 D1 P M2 G3 R3 S
Dhātuvardhani,Melakarta,69,S R3 G3 M2 P D1 N3 S, S N3 D1 P M2 G3 R3 S
Dhowtha Panchamam,Janyam,69,S R3 G3 M2 P N3 P S, S N3 D1 P M2 R3 G3 M2 R3 S
Dhwithiyapanchamam,Janyam,69,S R3 G3 M2 P N3 P S, S N3 D1 P M2 R3 M3 G3 R3 S
Sumukham,Janyam,69,S R3 M2 N3 S, S N3 M2 R3 S
Tavapriyā,Janyam,69,S R3 M2 P N3 S, S N3 D1 P M2 G3 R3 S
Nāsikabhooshhani,Melakarta,70,S R3 G3 M2 P D2 N2 S, S N2 D2 P M2 G3 R3 S
Nāsāmani,Janyam,70,S R3 G3 M2 P D2 N2 S, S N3 D2 P M2 G3 R3 S
Marakathagowla,Janyam,70,S R3 M2 P D2 N2 S, S N2 D2 P M2 G3 R3 S
Thilakamandāri,Janyam,70,S R3 M2 P D2 S, S D2 P M2 G3 R3 S
Kosalam,Melakarta,71,S R3 G3 M2 P D2 N3 S, S N3 D2 P M2 G3 R3 S
Kusumākaram,Janyam,71,S R3 G3 M2 P D2 N3 S, S N3 D2 P M2 G3 R3 S
Ayodhya,Janyam,71,S G3 M2 P N3 S, S D2 P M2 G3 M2 R3 S
Rasikapriya,Melakarta,72,S R3 G3 M2 P D3 N3 S, S N3 D3 P M2 G3 R3 S
Rasamanjari,Janyam,72,S R3 G3 M2 P D3 N3 S, S N3 D3 P M2 G3 R3 S
Hamsagiri,Janyam,72,S R3 G3 M2 P D3 N3 S, S N3 P D3 N3 P M2 G3 S
Ishtārangini,Janyam,72,S R3 M2 P N3 S, S N3 D3 P M2 G3 R3 S
Nāgagiri,Janyam,72,S G3 M2 P D2 P S, S D2 P M2 G3 S
