Raga,Raga_Class,Melakarta,Aarohanam,Avarohanam
Gummakāmbhoji,Janyam,15,S R1 G3 P D1 N3 S, S N3 D1 P M1 G3 R1 S
Gundakriya,Janyam,15,S R1 M1 P N3 S, S N3 P D1 P M1 G3 R1 S
Gurjari,Janyam,15,S R1 G3 M1 P D1 N3 S, S D1 N3 P M1 G3 R1 S
Jaganmohini,Janyam,15,S G3 M1 P N3 S, S N3 P M1 G3 R1 S
Kalyānakesari,Janyam,15,S R1 G3 P D1 S, S D1 P G3 R1 S
Kannadabangāla,Janyam,15,S R1 M1 G3 M1 D1 P D1 S, S D1 P M1 G3 R1 S
Karnātaka Sāranga,Janyam,15,S R1 G3 M1 P D1 N3 S, S N3 D1 P M1 R1 S
Lalitā,Janyam,15,S R1 G3 M1 D1 N3 S, S N3 D1 M1 G3 R1 S
Lalitapanchamam,Janyam,15,S R1 G3 M1 D1 N3 S, S N3 D1 M1 P M1 G3 R1 S
Mālavakurinji,Janyam,15,S G3 P D1 N3 S, S N3 D1 M1 R1 S
Mālavapanchamam,Janyam,15,S R1 G3 M1 P N3 S, S N3 D1 P M1 G3 R1 S
Mārgadesi,Janyam,15,S R1 G3 R1 G3 D1 M1 P D1 S, S D1 P M1 G3 R1 S
Malahari,Janyam,15,S R1 M1 P D1 S, S D1 P M1 G3 R1 S
Mallikavasantam,Janyam,15,S G3 M1 P N3 S, S N3 D1 P M1 G3 R1 S
Mangalakaishiki,Janyam,15,S R1 M1 G3 D1 P S, S N3 D1 P M1 G3 R1 S
Manolayam,Janyam,15,S R1 M1 P D1 S, S N3 D1 P M1 R1 S
Maruva,Janyam,15,S G3 M1 D1 N3 S, S N3 D1 P G3 M1 G3 R1 S R1 G3 R1 S
Mechabowli,Janyam,15,S R1 G3 P D1 S, S N3 D1 P M1 G3 R1 S
Megharanjani,Janyam,15,S R1 G3 M1 N3 S, S N3 M1 G3 R1 S
Nādhanāmakriya,Janyam,15,S R1 G3 M1 P D1 N3, N3 D1 P M1 G3 R1 S N3
Pādi,Janyam,15,S R1 M1 P N3 S, S N3 P D1 P M1 R1 S
Pharaju (Paras),Janyam,15,S G3 M1 P D1 N3 S, S N3 D1 P M1 G3 R1 S
Poornalalita,Janyam,15,S R1 G3 M1 P D1 S, S D1 P M1 G3 R1 S
Poorvi,Janyam,15,S R1 G3 M1 D1 N3 S, S N3 D1 P M1 G3 R1 S
Poorvikavasanta,Janyam,15,S M1 G3 M1 D N3 S, S N3 D1 M1 P M1 G3 R1 S
Pratāpadhanyāsi,Janyam,15,S G3 M1 P N3 S, S N3 D1 P M1 G3 R1 S
Pratāparanjani,Janyam,15,S R1 M1 P D1 N3 S, S N3 D1 P M1 G3 R1 S
Puranirmai,Janyam,15,S R1 G3 P D1 S, S N3 D1 P G3 R1 S
Rāmakali,Janyam,15,S R1 G3 P D1 S, S N3 D1 P M1 G3 R1 S
Rāmakriya,Janyam,15,S G3 M1 P D1 N3 S, S N3 P D1 P M1 G3 R1 S
Revagupti,Janyam,15,S R1 G3 P D1 S, S D1 P G3 R1 S
Rukhmāmbari,Janyam,15,S R1 G3 P N3 S, S N3 P G3 R1 S
Sāmantadeepara,Janyam,15,S R1 G3 M1 P N3 S, S N3 P M1 G3 R1 S
Sāranga Nāta,Janyam,15,S R1 M1 P D1 S, S N3 S D1 P M1 G3 R1 S
Sāveri,Janyam,15,S R1 M1 P D1 S, S N3 D1 P M1 G3 R1 S
Salanganāta,Janyam,15,S R1 M1 P D1 S, S D1 P G3 R1 S
Satyāvati,Janyam,15,S G3 R1 G3 P D1 S, S N3 D1 N3 P D1 P G3 R1 S
Sindhu Rāmakriya,Janyam,15,S G3 M1 P D1 N3 S, S N3 P M1 G3 R1 G3 S
Surasindhu,Janyam,15,S M1 G3 M1 P D1 N3 D1 S, S N3 D1 P M1 R1 G3 R1 S
Tārakagowla,Janyam,15,S G3 M1 D1 N3 S, S N3 D1 M1 G3 S
Takka,Janyam,15,S R1 S G3 M1 G3 P M1 D1 N3 S, S N3 D1 P M1 G3 R1 S
Ushāvali,Janyam,15,S R1 M1 P D1 S, S N3 D1 M1 P M1 R1 S
Vishārada,Janyam,15,S R1 M1 P N3 S, S N3 P M1 R1 S
Chakravākam,Melakarta,16,S R1 G3 M1 P D2 N2 S, S N2 D2 P M1 G3 R1 S
Toyavegavāhini,Janyam,16,S R1 G3 M1 P D2 N2 S, S N2 D2 P M1 G3 R1 S
Āhir Bhairavi,Janyam,16,S R1 G3 M1 P N2 D2 M1 P D2 S, S N2 D2 P M1 P G3 R1 S
Bhakthapriya,Janyam,16,S G3 M1 P D2 N2 S, S N2 D2 P M1 R1 M1 G3 S
Bhujāngini,Janyam,16,S R1 G3 M1 D2 N2 S, S N2 D2 M1 G3 R1 S
Bindhumālini,Janyam,16,S G3 R1 G3 M1 P N2 S, S N2 S D2 P G3 R1 S
Chakranārāyani,Janyam,16,S R1 M1 P D2 N2 S, S N2 D2 P M1 R1 S
Ghoshini,Janyam,16,S M1 G3 M1 P D2 N2 D2 S, S N2 D2 P M1 G3 R1 S
Guhapriya,Janyam,16,S R1 G3 M1 P P M1 D2 N2 S, S N2 D2 P M1 G3 S R1 S
Kalāvati,Janyam,16,S R1 M1 P D2 S, S D2 P M1 G3 R1 S
Kokilā,Janyam,16,S R1 G3 M1 D2 N2 S, S N2 D2 M1 G3 R1 S
Malayamārutam,Janyam,16,S R1 G3 P D2 N2 S, S N2 D2 P G3 R1 S
Mukthāngi,Janyam,16,S R1 G3 M1 P D2 N2 S, S D2 N2 P M1 G3 R1 S
Mukundamālini,Janyam,16,S R1 G2 P D2 S, S D2 P G2 R1 S
Poornapanchamam,Janyam,16,P M1 S R1 S M1 P D2, D2 P M1 G3 R1 S N2
Pravritti,Janyam,16,S G3 M1 P D2 N2 S, S N2 D2 P M1 G3 S
Rāgamanjari,Janyam,16,S R1 M1 P D2 S, S N2 D2 M1 R1 S
Rasikaranjani,Janyam,16,S R1 G3 P S, S D2 P G3 R1 S
Shree Nabhomārgini,Janyam,16,S G3 M1 P D2 N2 S, S D2 P M1 G3 R1 S
Shyāmali,Janyam,16,S G3 P D2 N2 S, S N2 D2 P G3 R1 S
Subhāshini,Janyam,16,S D2 N2 D R1 G3 M1 P, M1 G3 R1 S N2 D2 N2 S
Valaji,Janyam,16,S G3 P D2 N2 S, S N2 D2 P G3 S
Veenadhāri,Janyam,16,S R1 G3 P D2 N2 S, S N2 D2 P M1 G3 R1 S
Vegavāhini,Janyam,16,S R1 G3 M1 D2 N2 D2 S, S N2 D2 P M1 G3 R1 S
Sooryakāntam,Melakarta,17,S R1 G3 M1 P D2 N3 S, S N3 D2 P M1 G3 R1 S
Chāyāvathi,Janyam,17,S R1 G3 M1 D2 N3 S, S N3 D2 P M1 G3 R1 S
Bhairavam,Janyam,17,S R1 G3 M1 P D2 N3 S, S D2 P M1 G3 R1 S
Haridarpa,Janyam,17,S R1 G3 M1 P D2 N3 S, S D2 P M1 R1 S
Jayasamvardhani,Janyam,17,S G3 M1 P D2 N3 S, S N3 P M1 G3 R1 S
Jeevantikā,Janyam,17,S R1 M1 P D2 N3 S, S N3 D2 P M1 R1 S
Kusumamāruta,Janyam,17,S M1 P D2 N3 S, S N3 D2 P M1 G3 R1 G3 M1 S
Nāgachooḍāmani,Janyam,17,S R1 G3 M1 P D2 S, S D2 N2 D2 P M1 G3 M1 R2 S
Rohini,Janyam,17,S R1 G2 M1 M2 D2 N2 S, S N2 D2 M2 M1 G2 R1 S
Sāmakannada,Janyam,17,S R2 M1 G2 M1 P D2 N3 S, S N3 D2 P M1 R1 S
Sowrāshtram,Janyam,17,S R1 G3 M1 P M1 D2 N3 S, S N3 D2 N2 D2 P M1 G3 R1 S
Suddha Gowla,Janyam,17,S R1 M1 P N3 S, S N3 P M1 R1 S
Supradeepam,Janyam,17,S R1 M1 P D2 N3 S, S N3 D2 P M1 G3 M1 R1 S
Vasanthā,Janyam,17,S M1 G3 M1 D2 N3 S, S N3 D2 M1 G3 R1 S
Hatakāmbari,Melakarta,18,S R1 G3 M1 P D3 N3 S, S N3 D3 P M1 G3 R1 S
Jayashuddhamālavi,Janyam,18,S R1 G3 M1 P N3 S, S N3 D3 P M1 G3 R1 S
Hamsanantini,Janyam,18,S G3 M1 P S, S P M1 G3 R1 S
Kallola,Janyam,18,S P D3 N3 S, S N3 D3 P M1 G3 R1 S
Simhala,Janyam,18,S R1 G3 M1 P D3 N3 S, S N3 D3 N3 P M1 G3 R1 S
Jhankāradhvani,Melakarta,19,S R2 G2 M1 P D1 N1 S, S N1 D1 P M1 G2 R2 S
Jhankārabhramari,Janyam,19,S R2 G2 M1 P D1 N1 D1 P D1 S, S N1 D1 P M1 G2 R2 S
Jhankārabhramari,Janyam,19,S R2 G2 M1 P D1 S, S N1 D1 P M1 G2 R2 S
Jhankārabhramari,Janyam,19,S R2 G2 M1 P D1 N1 D1 S, S D1 P M1 G2 R2 S
Jhankārabhramari,Janyam,19,S R2 G2 M1 P D1 N1 D1 S, S N1 D1 P M1 G2 R2 S
Jhankārabhramari,Janyam,19,S G R2 G2 M1 P D1 N1 D1 S, S N1 D1 P M1 G2 R2 G R2 S
Jhankārabhramari,Janyam,19,S R2 G2 M1 P D1 N1 D1 S, D1 N1 D1 P M1 G2 R2 S
Bhārati,Janyam,19,S R2 G2 M1 P S, S P M1 G2 R2 S
Jalmika,Janyam,19,S R2 G1 M1 P D1 N1 S, S N1 D1 P M1 G1 S R2 S
Lalitabhairavi,Janyam,19,S G2 M1 P D1 S, S N1 D1 P M1 G2 R2 S
Poornalalita,Janyam,19,"S G2 R2 M1 P S, S G2 R2 G2 R2 M1 P S, S R2 G2 R2 M1 P S, S R2 G2 M1 P S, S G2 R2 G2 M1 P S"," S N1 D1 P M1 G2 R2 S, S N1 D1 P M1 G2 R2 S, S N1 D1 P M1 G2 R2 S, S N1 D1 P M1 G2 R2 S, S N1 D1 P M1 G2 R2 S"
Natabhairavi,Melakarta,20,S R2 G2 M1 P D1 N2 S, S N2 D1 P M1 G2 R2 S
Nārērētigowla,Janyam,20,S R1 G2 M1 P D1 N2 S, S R2 D1 P M1 G2 R2 S
Anandabhairavi,Janyam,20,S G2 R2 G2 M1 P D2 P S, S N2 D2 P M1 G2 R2 S
Amrithavāhini,Janyam,20,S R2 M1 P D1 N2 S, S N2 D1 M1 G2 R2 S
Bhairavi,Janyam,20,S G2 R2 G2 M1 P D2 N2 S, S N2 D1 P M1 G2 R2 S
Bhuvanagāndhāri,Janyam,20,S R2 M1 P N2 S, S N2 D1 P M1 G2 S
Chapagantarva,Janyam,20,S G2 M1 P N2, D1 M1 G2 R2 S N2
Darbāri Kānada,Janyam,20,N2 S R2 G2 R2 S M1 P D1 N2 S, S D1 N2 P M1 P G2 M1 R2 S
Devakriya,Janyam,20,S R2 M1 P N2 S, S N2 D1 N P M1 G2 R2 S
Dhanashree,Janyam,20,N2 S G2 M1 P N2 S, S N2 D1 P M1 G2 R1 S
Dharmaprakāshini,Janyam,20,S R2 M1 P N2 S, S N2 D1 M1 G2 R2 S
Dilipika Vasantha,Janyam,20,S G2 M1 P D1 P N2 S, S D1 P M1 R2 S
Divyagāndhāri,Janyam,20,S G2 M1 P D1 N2 S, S N2 P M1 G2 S
Gopikāvasantam,Janyam,20,S R2 G2 M1 P D1 P N2, S N2 D1 P M1 G2 R2 S
Hindolam,Janyam,20,S G2 M1 D1 N2 S, S N2 D1 M1 G2 S
Hindolavasanta,Janyam,20,S G2 M1 P D1 N2 D1 S, S N2 D1 P M1 D2 M1 G2 S
Indughantarava,Janyam,20,S G2 M1 P D1 P, N2 D1 P M1 G2 R2 S N2
Jayanthashrī,Janyam,20,S G2 M1 D1 N2 S, S N2 D1 M1 P M1 G2 S
Jingaḷa,Janyam,20,S R2 G2 M1 P D1 N2 D1 P S, S N2 D1 P M1 G2 R2 S
Jonpuri,Janyam,20,S R2 M1 P D1 N2 S, S N2 D1 P M1 G2 R2 S
Kātyāyani,Janyam,20,S R2 G2 P D2 S, S D2 P G2 R2 S
Kanakavasantham,Janyam,20,S G2 M1 P N2 D1 S, S N2 D1 P M1 G2 R2 S
Kshanika,Janyam,20,S G2 M1 P D1 S, S D1 P M1 G2 S
Mānji,Janyam,20,S R2 G2 M1 P D2 N2 S, S N2 D1 P M1 P M1 P G2 R2 S
Mahati,Janyam,20,S P P D1 N2 S, S N2 P G2 R2 S
Malkosh,Janyam,20,S G2 M1 D1 N2 S, S N2 D1 M1 G2 S
Nāgagāndhāri,Janyam,20,S R2 M1 G2 M1 P D1 N2 S, S N2 D1 P M1 G2 R2 S
Navarathna Vilāsam,Janyam,20,S R2 G2 M1 P D1 P S, S D1 P M1 G2 M1 R2 S
Nīlamati,Janyam,20,S G2 M1 P D1 N2 S, S N2 D1 M1 G2 S
Nīlaveni,Janyam,20,S R2 G2 M1 P D1 N2 D1 S, S D1 P M1 G2 R2 S
Poornashađjam,Janyam,20,S R2 G2 M1 N2 S, S N2 P M1 G2 R2 S
Rājarājeshwari,Janyam,20,S R2 M1 P D1 S, S N2 D1 P M1 G2 R2 S
Sāramati,Janyam,20,S R2 G2 M1 P D1 N2 S, S N2 D1 M G2 S
Sāranga Kāpi,Janyam,20,S R1 P M1 R1 P R1 M1 P N2 S, S N2 D1 P M1 G2 R1 S
